Temple,Status,Latitude,Longitude,Dedication Date
Aba Nigeria Temple,Dedicated,5.147644,7.356719,#121: 7 August 2005
Abidjan Ivory Coast Temple,Construction,5.362307,-3.976865,Under Construction
Accra Ghana Temple,Dedicated,5.56749,-0.193706,#117: 11 January 2004
Adelaide Australia Temple,Dedicated,-34.892473,138.635002,#89: 15 June 2000
Alabang Philippines Temple,Construction,14.412913,121.037838,Under Construction
Albuquerque New Mexico Temple,Dedicated,35.167684,-106.525301,#73: 5 March 2000
Anchorage Alaska Temple,Dedicated,61.101627,-149.840512,#54: 9 January 1999
Antananarivo Madagascar Temple,Announced,-18.85393042,47.478333,Announced
Antofagasta Chile Temple,Construction,-23.571891,-70.394525,Under Construction
Apia Samoa Temple,Dedicated,-13.838064,-171.783034,#22: 5 August 1983
Arequipa Peru Temple,Dedicated,-16.375203,-71.538477,#167: 15 December 2019
Asunci�n Paraguay Temple,Dedicated,-25.287916,-57.602869,#112: 19 May 2002
Atlanta Georgia Temple,Dedicated,33.931896,-84.362394,#21: 1 June 1983
Auckland New Zealand Temple,Construction,-36.993227,174.890191,Under Construction
Austin Texas Temple,Construction,30.51681449,-97.79687,Under Construction
Bacolod Philippines Temple,Construction,10.696648,122.989455,Under Construction
Bah�a Blanca Argentina Temple,Construction,-38.69117,-62.235937,Under Construction
Bakersfield California Temple,Announced,35.35502332,-119.138634,Announced
Bangkok Thailand Temple,Dedicated,13.749491,100.562527,#185: 22 October 2023
Barcelona Spain Temple,Announced,41.48746553,2.06931235,Announced
Barranquilla Colombia Temple,Dedicated,11.016798,-74.86261,#161: 9 December 2018
Baton Rouge Louisiana Temple,Dedicated,30.362664,-91.108385,#94: 16 July 2000
Beira Mozambique Temple,Announced,-19.84590986,34.8551898,Announced
Bel�m Brazil Temple,Dedicated,-1.387242,-48.459894,#174: 20 November 2022
Belo Horizonte Brazil Temple,Construction,-19.88029952,-43.978604,Under Construction
Bengaluru India Temple,Construction,12.992096,77.704714,Under Construction
Benin City Nigeria Temple,Announced,6.31456524,5.62516446,Announced
Bentonville Arkansas Temple,Dedicated,36.38500576,-94.183255,#181: 17 September 2023
Bern Switzerland Temple,Dedicated,47.002192,7.458244,#9: 11 September 1955
Billings Montana Temple,Dedicated,45.800505,-108.63939,#66: 29 November 1999
Birmingham Alabama Temple,Dedicated,33.674623,-86.821236,#98: 3 September 2000
Birmingham England Temple,Announced,52.53551078,-1.8123859,Announced
Bismarck North Dakota Temple,Dedicated,46.838889,-100.813979,#61: 19 September 1999
Bogot� Colombia Temple,Dedicated,4.707801,-74.056247,#57: 24 April 1999
Boise Idaho Temple,Dedicated,43.593523,-116.275034,#27: 25 May 1984
Boston Massachusetts Temple,Dedicated,42.412002,-71.188091,#100: 1 October 2000
Bountiful Utah Temple,Dedicated,40.882853,-111.846812,#47: 8 January 1995
Bras�lia Brazil Temple,Dedicated,-15.747835,-47.880945,#180: 17 September 2023
Brazzaville Republic of the Congo Temple,Unknown Location,-4.274732537,15.27674633,Announced - Location TBD
Brigham City Utah Temple,Dedicated,41.505376,-112.016592,#139: 23 September 2012
Brisbane Australia Temple,Dedicated,-27.480886,153.033841,#115: 15 June 2003
Brisbane Australia South Temple,Unknown Location,-27.8548711,153.2743938,Announced - Location TBD
Brussels Belgium Temple,Announced,50.84171761,4.36710126,Announced
Budapest Hungary Temple,Announced,47.57024544,19.00634892,Announced
Buenos Aires Argentina Temple,Dedicated,-34.729286,-58.518225,#39: 17 January 1986
Buenos Aires City Center Argentina Temple,Unknown Location,-34.60346829,-58.38022281,Announced - Location TBD
Burley Idaho Temple,Construction,42.52659109,-113.764841,Under Construction
Busan Korea Temple,Unknown Location,35.15102966,129.0378858,Announced - Location TBD
Cagayan de Oro Philippines Temple,Construction,8.47908926,124.6598511,Under Construction
Calabar Nigeria Temple,Unknown Location,4.988644089,8.347848653,Announced - Location TBD
Calgary Alberta Temple,Dedicated,51.140861,-114.2333,#140: 28 October 2012
Cali Colombia Temple,Announced,3.48698324,-76.521499,Announced
Campinas Brazil Temple,Dedicated,-22.896534,-47.001133,#111: 17 May 2002
Canc�n Mexico Temple,Unknown Location,21.1582722,-86.86011715,Announced - Location TBD
Cape Coast Ghana Temple,Unknown Location,5.170981456,-1.295985372,Announced - Location TBD
Cape Town South Africa Temple,Announced,-33.94114387,18.4797749,Announced
Caracas Venezuela Temple,Dedicated,10.470849,-66.837293,#96: 20 August 2000
Cardston Alberta Temple,Dedicated,49.19835,-113.309394,#6: 26 August 1923
Casper Wyoming Temple,Construction,42.80908928,-106.361814,Under Construction
Cebu City Philippines Temple,Dedicated,10.327659,123.898299,#133: 13 June 2010
Cedar City Utah Temple,Dedicated,37.671734,-113.096271,#159: 10 December 2017
Charlotte North Carolina Temple,Announced,35.00752312,-80.76566731,Announced
Chicago Illinois Temple,Dedicated,42.086829,-87.859501,#35: 9 August 1985
Chiclayo Peru Temple,Unknown Location,-6.613733205,-79.85253256,Announced - Location TBD
Chuhuahua Mexico Temple,Unknown Location,28.6438,-106.063,Announced - Location TBD
Cincinatti Ohio Temple,Announced,39.32725034,-84.3168764,Announced
Ciudad Ju�rez Mexico Temple,Dedicated,31.736269,-106.463209,#71: 26 February 2000
Cleveland Ohio Temple,Construction,41.39986912,-81.636826,Under Construction
Cob�n Guatemala Temple,Dedicated,15.459077,-90.365166,#193: 9 June 2024
Cochabamba Bolivia Temple,Dedicated,-17.363644,-66.147644,#82: 30 April 2000
Cody Wyoming Temple,Announced,44.51148354,-109.081796,Announced
Colonia Ju�rez Chihuahua Mexico Temple,Dedicated,30.305251,-108.082038,#55: 6 March 1999
Colorado Springs Colorado Temple,Unknown Location,38.83545889,-104.8447851,Announced - Location TBD
Columbia River Washington Temple,Dedicated,46.226733,-119.274893,#107: 18 November 2001
Columbia South Carolina Temple,Dedicated,33.959638,-80.893981,#62: 16 October 1999
Columbus Ohio Temple,Dedicated,39.994089,-83.113214,#60: 4 September 1999
Concepci�n Chile Temple,Dedicated,-36.851499,-73.049966,#160 28 October 2018
Copenhagen Denmark Temple,Dedicated,55.692677,12.53392,#118: 23 May 2004
C�rdoba Argentina Temple,Dedicated,-31.358873,-64.245809,#145: 17 May 2015
Cuernavaca Mexico Temple,Announced,18.93473808,-99.226499,Announced
Culic�n Mexico Temple,Unknown Location,24.81160762,-107.3939597,Announced - Location TBD
Curitiba Brazil Temple,Dedicated,-25.441304,-49.342138,#126: 1 June 2008
Cusco Peru Temple,Announced,-13.51593102,-71.984943,Announced
Dallas Texas Temple,Dedicated,32.914288,-96.796525,#30: 19 October 1984
Davao Philippines Temple,Construction,7.088597,125.579755,Under Construction
Denver Colorado Temple,Dedicated,39.568698,-104.965782,#40: 24 October 1986
Des Moines Iowa Temple,Announced,41.67117719,-93.742485,Announced
Deseret Peak Utah Temple,Construction,40.57266168,-112.31397,Under Construction
Detroit Michigan Temple,Dedicated,42.566266,-83.229983,#63: 23 October 1999
Draper Utah Temple,Dedicated,40.495893,-111.840748,#129: 20 March 2009
Dubai United Arab Emirates Temple,Unknown Location,25.20791123,55.28983938,Announced - Location TBD
Durban South Africa Temple,Dedicated,-29.708455,31.073671,#168: 16 February 2020
Edinburgh Scotland Temple,Unknown Location,55.95255557,-3.198201227,Announced - Location TBD
Edmonton Alberta Temple,Dedicated,53.489593,-113.570538,#67: 11 December 1999
Eket Nigeria Temple,Unknown Location,4.647051928,7.941908618,Announced - Location TBD
Elko Nevada Temple,Construction,40.85249525,-115.750084,Under Construction
